DATE,A,C
15/01/2014,0.0033,0.016
14/01/2014,-0.0079,0.0017
13/01/2014,0.0055,0.0066
10/01/2014,0.0051,0.0034
09/01/2014,0.0022,0.0034
08/01/2014,0.0021,-0.0017
07/01/2014,0.0015,0.0122
06/01/2014,-0.0009,0.0063
03/01/2014,0.0039,0.0097
02/01/2014,0.0059,-0.002
30/12/2013,-0.0011,0.0006
27/12/2013,0.0056,0.0139
23/12/2013,0.0027,0.0071
20/12/2013,0,0.006
19/12/2013,0.0099,0.0178
18/12/2013,0.0054,0.0115
17/12/2013,-0.005,-0.0163
16/12/2013,0.0003,0.0234
13/12/2013,0.0005,0
12/12/2013,-0.0036,-0.0094
11/12/2013,-0.0018,-0.0144
10/12/2013,-0.002,-0.0027
09/12/2013,0.0011,0.0089
06/12/2013,0.0034,0.0073
05/12/2013,-0.0014,-0.0175
04/12/2013,0.0027,-0.0029
03/12/2013,0.0011,-0.0195
02/12/2013,-0.0006,-0.0152
29/11/2013,-0.0004,-0.0041
28/11/2013,0.0004,0.0092
27/11/2013,0.0022,0.008
26/11/2013,-0.0005,-0.0005
25/11/2013,0.0053,-0.002
22/11/2013,0.0008,-0.001
21/11/2013,-0.0036,0.0061
20/11/2013,-0.0015,-0.0021
19/11/2013,-0.0052,-0.0177
18/11/2013,-0.0023,0.0224
15/11/2013,0.002,-0.0039
14/11/2013,0.0094,0.0015
13/11/2013,-0.005,-0.0143
12/11/2013,-0.0011,-0.0054
11/11/2013,0.0032,0.0077
08/11/2013,-0.0035,0.0052
07/11/2013,-0.0012,-0.0207
06/11/2013,0.0043,0.0089
05/11/2013,0.0032,-0.0113
04/11/2013,0.0035,0.0076
01/11/2013,-0.0001,-0.0097
31/10/2013,-0.0031,0.0096
30/10/2013,0.0026,-0.0047
29/10/2013,-0.0007,0.0227
28/10/2013,0.0044,-0.0024
25/10/2013,-0.0044,-0.0145
24/10/2013,0.0056,0.0128
23/10/2013,-0.0046,-0.0238
22/10/2013,-0.001,0.0057
21/10/2013,-0.0012,-0.0004
18/10/2013,0.0041,0.0038
17/10/2013,0.0001,-0.004
16/10/2013,0.0006,0.0145
15/10/2013,0.0032,0.0043
14/10/2013,-0.0018,0.0019
11/10/2013,0.0077,0.0024
10/10/2013,0.0065,0.0154
09/10/2013,-0.0012,0.0097
08/10/2013,-0.0007,-0.0029
07/10/2013,-0.0031,0.0066
04/10/2013,0.0026,0.0159
03/10/2013,0.006,-0.0044
02/10/2013,-0.0019,0.0068
01/10/2013,0.0026,0.0311
30/09/2013,-0.0166,-0.012
27/09/2013,0.0004,-0.0127
26/09/2013,-0.0021,-0.012
25/09/2013,-0.0043,0.0014
24/09/2013,0.0014,0.0085
23/09/2013,-0.0034,-0.0032
20/09/2013,0.0012,-0.0049
19/09/2013,0.0158,0.0143
18/09/2013,-0.0002,0.003
17/09/2013,-0.0025,0.0011
16/09/2013,0.0067,0.0105
